,sentiment_risk,confidence_risk,volatility_risk,engagement_risk,tenure_risk,overall_risk,cluster
86,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
87,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
88,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
89,1.0,0.33999999999999997,0.0,0.41107184923439344,0,0.429660777385159,5
90,0.0,0.5999999999999999,0.0,0.0,0,0.11999999999999998,8
91,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
92,0.0,0.6,0.0,0.0,0,0.12,8
93,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
94,0.0,0.6,0.5,0.0,0,0.22,8
95,0.0,0.6,0.0,0.0,0,0.12,3
96,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
97,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
98,0.0,0.6,0.0,0.0,0,0.12,8
99,0.0,0.6,0.0,0.0,0,0.12,2
100,0.0,0.6,0.5,0.0,0,0.22,0
101,1.0,0.49,0.0,0.41107184923439344,0,0.45966077738515904,5
102,0.0,0.6,0.0,0.0,0,0.12,8
103,0.5,0.58,1.0,0.0,0,0.466,2
104,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
105,0.0,0.6,0.0,0.0,0,0.12,6
106,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
107,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
108,0.0,0.19999999999999996,0.0,0.41107184923439344,0,0.10166077738515901,7
109,0.0,0.6,0.0,0.0,0,0.12,6
110,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
111,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
112,0.0,0.5999999999999999,0.0,0.0,0,0.11999999999999998,4
113,0.0,0.6,0.5,0.0,0,0.22,1
114,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
115,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
116,0.0,0.6,0.0,0.0,0,0.12,0
117,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
118,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
119,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
120,0.0,0.6,0.5,0.0,0,0.22,6
121,1.0,0.33999999999999997,0.0,0.41107184923439344,0,0.429660777385159,5
122,0.0,0.6,0.0,0.0,0,0.12,8
123,0.0,0.6,0.5,0.0,0,0.22,2
124,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
125,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
126,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
127,0.0,0.6,0.0,0.0,0,0.12,3
128,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
129,0.0,0.6,0.0,0.0,0,0.12,1
130,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
131,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,4
132,0.0,0.6,0.0,0.0,0,0.12,0
133,0.5,0.5449999999999999,0.5,0.0,0,0.359,5
134,0.0,0.6,0.5,0.0,0,0.22,8
135,0.0,0.6,0.0,0.0,0,0.12,2
136,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
137,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
138,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
139,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
140,0.0,0.3999999999999999,0.0,0.0,0,0.07999999999999999,7
141,0.0,0.6,0.5,0.0,0,0.22,6
142,0.0,0.6,0.5,0.0,0,0.22,8
143,0.0,0.6,0.0,0.0,0,0.12,3
144,0.0,0.6,0.0,0.0,0,0.12,4
145,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,1
146,0.0,0.58,0.0,0.0,0,0.11599999999999999,8
147,0.0,0.6,0.5,0.0,0,0.22,2
148,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,0
149,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
150,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
151,0.0,0.6,0.0,0.0,0,0.12,3
152,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
153,0.3333333333333333,0.5133333333333334,0.2041241452319315,0.0,0,0.24349149571305295,5
154,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
155,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
156,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
157,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
158,0.0,0.6,0.5,0.0,0,0.22,8
159,0.0,0.6,0.0,0.0,0,0.12,3
